Haut;Origin;Location;Type;Dose;n_cells;n_pos
4;alt;basal;254nm;30;674;0
5;alt;basal;254nm;30;737;15
7;alt;basal;254nm;30;624;8
8;alt;basal;254nm;30;649;0
9;alt;basal;254nm;30;980;143
10;alt;basal;254nm;30;650;1
11;alt;basal;254nm;30;691;3
12;alt;basal;254nm;30;808;21
1;alt;basal;254nm;300;842;182
2;alt;basal;254nm;300;652;0
3;alt;basal;254nm;300;575;18
4;alt;basal;254nm;300;624;0
5;alt;basal;254nm;300;1026;123
7;alt;basal;254nm;300;745;1
8;alt;basal;254nm;300;647;54
9;alt;basal;254nm;300;588;131
10;alt;basal;254nm;300;991;82
11;alt;basal;254nm;300;778;48
12;alt;basal;254nm;300;555;0
1;alt;basal;254nm;1000;936;607
2;alt;basal;254nm;1000;582;11
3;alt;basal;254nm;1000;655;324
4;alt;basal;254nm;1000;791;147
5;alt;basal;254nm;1000;508;405
7;alt;basal;254nm;1000;733;57
8;alt;basal;254nm;1000;579;25
9;alt;basal;254nm;1000;530;342
10;alt;basal;254nm;1000;964;134
11;alt;basal;254nm;1000;973;226
12;alt;basal;254nm;1000;576;56
1;alt;basal;254nm;2000;796;172
2;alt;basal;254nm;2000;700;169
3;alt;basal;254nm;2000;509;484
4;alt;basal;254nm;2000;761;2
5;alt;basal;254nm;2000;781;602
7;alt;basal;254nm;2000;614;0
8;alt;basal;254nm;2000;607;207
9;alt;basal;254nm;2000;770;564
10;alt;basal;254nm;2000;804;417
11;alt;basal;254nm;2000;739;329
12;alt;basal;254nm;2000;678;567
1;alt;suprabasal;222nm;0;890;1
2;alt;suprabasal;222nm;0;1377;2
3;alt;suprabasal;222nm;0;699;1
4;alt;suprabasal;222nm;0;1113;2
5;alt;suprabasal;222nm;0;1145;2
7;alt;suprabasal;222nm;0;743;1
8;alt;suprabasal;222nm;0;813;1
9;alt;suprabasal;222nm;0;783;1
10;alt;suprabasal;222nm;0;1127;2
11;alt;suprabasal;222nm;0;1423;2
12;alt;suprabasal;222nm;0;1297;2
1;alt;suprabasal;222nm;30;988;10
2;alt;suprabasal;222nm;30;1392;3
3;alt;suprabasal;222nm;30;898;0
4;alt;suprabasal;222nm;30;1559;4
5;alt;suprabasal;222nm;30;1192;10
7;alt;suprabasal;222nm;30;1341;4
8;alt;suprabasal;222nm;30;527;7
9;alt;suprabasal;222nm;30;755;11
10;alt;suprabasal;222nm;30;757;0
11;alt;suprabasal;222nm;30;1261;2
12;alt;suprabasal;222nm;30;1433;1
1;alt;suprabasal;222nm;300;1438;5
2;alt;suprabasal;222nm;300;1519;5
3;alt;suprabasal;222nm;300;1061;0
4;alt;suprabasal;222nm;300;1228;4
5;alt;suprabasal;222nm;300;1034;6
7;alt;suprabasal;222nm;300;1324;10
8;alt;suprabasal;222nm;300;566;5
9;alt;suprabasal;222nm;300;805;1
10;alt;suprabasal;222nm;300;1309;11
11;alt;suprabasal;222nm;300;559;0
12;alt;suprabasal;222nm;300;829;0
1;alt;suprabasal;222nm;1000;720;2
2;alt;suprabasal;222nm;1000;1979;4
3;alt;suprabasal;222nm;1000;858;3
4;alt;suprabasal;222nm;1000;1273;10
5;alt;suprabasal;222nm;1000;861;7
7;alt;suprabasal;222nm;1000;945;1
8;alt;suprabasal;222nm;1000;798;59
9;alt;suprabasal;222nm;1000;1187;9
10;alt;suprabasal;222nm;1000;863;14
11;alt;suprabasal;222nm;1000;869;4
12;alt;suprabasal;222nm;1000;815;0
1;alt;suprabasal;222nm;2000;1282;26
2;alt;suprabasal;222nm;2000;947;18
3;alt;suprabasal;222nm;2000;614;2
4;alt;suprabasal;222nm;2000;940;15
5;alt;suprabasal;222nm;2000;990;3
7;alt;suprabasal;222nm;2000;906;0
8;alt;suprabasal;222nm;2000;934;42
9;alt;suprabasal;222nm;2000;1206;18
10;alt;suprabasal;222nm;2000;1238;100
11;alt;suprabasal;222nm;2000;738;9
12;alt;suprabasal;222nm;2000;830;2
1;alt;suprabasal;254nm;0;890;1
2;alt;suprabasal;254nm;0;1377;2
3;alt;suprabasal;254nm;0;699;1
4;alt;suprabasal;254nm;0;1113;2
5;alt;suprabasal;254nm;0;1145;2
7;alt;suprabasal;254nm;0;743;1
8;alt;suprabasal;254nm;0;813;1
9;alt;suprabasal;254nm;0;783;1
10;alt;suprabasal;254nm;0;1127;2
11;alt;suprabasal;254nm;0;1423;2
12;alt;suprabasal;254nm;0;1297;2
1;alt;suprabasal;254nm;30;1335;111
2;alt;suprabasal;254nm;30;1235;20
3;alt;suprabasal;254nm;30;878;79
4;alt;suprabasal;254nm;30;981;16
5;alt;suprabasal;254nm;30;933;201
7;alt;suprabasal;254nm;30;742;134
8;alt;suprabasal;254nm;30;1030;191
9;alt;suprabasal;254nm;30;1628;283
10;alt;suprabasal;254nm;30;1547;283
11;alt;suprabasal;254nm;30;1294;59
12;alt;suprabasal;254nm;30;1150;28
1;alt;suprabasal;254nm;300;1029;485
2;alt;suprabasal;254nm;300;1242;89
3;alt;suprabasal;254nm;300;870;329
4;alt;suprabasal;254nm;300;895;363
5;alt;suprabasal;254nm;300;1341;809
7;alt;suprabasal;254nm;300;1106;249
8;alt;suprabasal;254nm;300;839;525
9;alt;suprabasal;254nm;300;1389;557
10;alt;suprabasal;254nm;300;1312;77
11;alt;suprabasal;254nm;300;753;459
12;alt;suprabasal;254nm;300;1172;89
1;alt;suprabasal;254nm;1000;967;644
2;alt;suprabasal;254nm;1000;1136;372
3;alt;suprabasal;254nm;1000;1751;1347
4;alt;suprabasal;254nm;1000;1453;1357
5;alt;suprabasal;254nm;1000;703;674
7;alt;suprabasal;254nm;1000;878;471
8;alt;suprabasal;254nm;1000;1164;429
9;alt;suprabasal;254nm;1000;883;560
10;alt;suprabasal;254nm;1000;2113;1318
11;alt;suprabasal;254nm;1000;1308;850
12;alt;suprabasal;254nm;1000;916;779
1;alt;suprabasal;254nm;2000;1180;797
2;alt;suprabasal;254nm;2000;962;485
3;alt;suprabasal;254nm;2000;911;845
4;alt;suprabasal;254nm;2000;987;123
5;alt;suprabasal;254nm;2000;1217;1115
7;alt;suprabasal;254nm;2000;1068;232
8;alt;suprabasal;254nm;2000;1408;907
9;alt;suprabasal;254nm;2000;1025;796
10;alt;suprabasal;254nm;2000;1133;1125
11;alt;suprabasal;254nm;2000;1325;873
12;alt;suprabasal;254nm;2000;1110;1077
1;jung;basal;222nm;0;594;1
2;jung;basal;222nm;0;597;1
3;jung;basal;222nm;0;1101;2
4;jung;basal;222nm;0;712;1
5;jung;basal;222nm;0;532;1
7;jung;basal;222nm;0;816;1
8;jung;basal;222nm;0;628;1
9;jung;basal;222nm;0;906;1
10;jung;basal;222nm;0;624;1
11;jung;basal;222nm;0;553;1
1;jung;basal;222nm;30;625;1
2;jung;basal;222nm;30;500;0
3;jung;basal;222nm;30;1037;4
4;jung;basal;222nm;30;1188;0
5;jung;basal;222nm;30;1503;5
7;jung;basal;222nm;30;594;0
8;jung;basal;222nm;30;1024;0
9;jung;basal;222nm;30;802;5
10;jung;basal;222nm;30;658;0
11;jung;basal;222nm;30;967;1
1;jung;basal;222nm;300;589;2
2;jung;basal;222nm;300;711;0
3;jung;basal;222nm;300;836;13
4;jung;basal;222nm;300;821;0
5;jung;basal;222nm;300;885;1
7;jung;basal;222nm;300;500;0
8;jung;basal;222nm;300;836;0
9;jung;basal;222nm;300;852;1
10;jung;basal;222nm;300;714;0
11;jung;basal;222nm;300;913;0
1;jung;basal;222nm;1000;772;1
2;jung;basal;222nm;1000;805;0
3;jung;basal;222nm;1000;966;2
4;jung;basal;222nm;1000;671;0
5;jung;basal;222nm;1000;743;6
7;jung;basal;222nm;1000;545;0
8;jung;basal;222nm;1000;577;0
9;jung;basal;222nm;1000;1058;1
10;jung;basal;222nm;1000;567;0
11;jung;basal;222nm;1000;522;0
1;jung;basal;222nm;2000;856;1
2;jung;basal;222nm;2000;651;0
3;jung;basal;222nm;2000;1199;4
4;jung;basal;222nm;2000;980;0
5;jung;basal;222nm;2000;1180;81
7;jung;basal;222nm;2000;803;0
8;jung;basal;222nm;2000;631;0
9;jung;basal;222nm;2000;645;0
10;jung;basal;222nm;2000;685;0
11;jung;basal;222nm;2000;872;0
1;jung;basal;254nm;0;594;1
2;jung;basal;254nm;0;597;1
3;jung;basal;254nm;0;1101;2
4;jung;basal;254nm;0;712;1
5;jung;basal;254nm;0;532;1
7;jung;basal;254nm;0;816;1
8;jung;basal;254nm;0;628;1
9;jung;basal;254nm;0;906;1
10;jung;basal;254nm;0;624;1
11;jung;basal;254nm;0;553;1
1;jung;basal;254nm;30;856;0
2;jung;basal;254nm;30;503;0
3;jung;basal;254nm;30;745;8
4;jung;basal;254nm;30;724;1
5;jung;basal;254nm;30;733;85
7;jung;basal;254nm;30;592;1
8;jung;basal;254nm;30;627;0
9;jung;basal;254nm;30;940;0
10;jung;basal;254nm;30;683;0
11;jung;basal;254nm;30;657;162
1;jung;basal;254nm;300;578;64
2;jung;basal;254nm;300;700;2
3;jung;basal;254nm;300;572;1
4;jung;basal;254nm;300;577;2
5;jung;basal;254nm;300;783;261
7;jung;basal;254nm;300;814;0
8;jung;basal;254nm;300;952;0
9;jung;basal;254nm;300;618;0
10;jung;basal;254nm;300;545;0
11;jung;basal;254nm;300;1265;748
1;jung;basal;254nm;1000;582;51
2;jung;basal;254nm;1000;508;0
3;jung;basal;254nm;1000;988;68
4;jung;basal;254nm;1000;615;0
5;jung;basal;254nm;1000;909;308
7;jung;basal;254nm;1000;569;17
8;jung;basal;254nm;1000;895;3
9;jung;basal;254nm;1000;668;2
10;jung;basal;254nm;1000;573;0
11;jung;basal;254nm;1000;842;694
1;jung;basal;254nm;2000;574;29
2;jung;basal;254nm;2000;718;2
3;jung;basal;254nm;2000;752;111
4;jung;basal;254nm;2000;601;0
5;jung;basal;254nm;2000;656;49
7;jung;basal;254nm;2000;763;4
8;jung;basal;254nm;2000;837;26
9;jung;basal;254nm;2000;686;0
10;jung;basal;254nm;2000;568;1
11;jung;basal;254nm;2000;660;81
1;jung;suprabasal;222nm;0;1263;2
2;jung;suprabasal;222nm;0;2449;3
3;jung;suprabasal;222nm;0;3471;7
4;jung;suprabasal;222nm;0;1072;2
5;jung;suprabasal;222nm;0;653;1
7;jung;suprabasal;222nm;0;1458;2
8;jung;suprabasal;222nm;0;1153;2
9;jung;suprabasal;222nm;0;1363;2
10;jung;suprabasal;222nm;0;990;1
11;jung;suprabasal;222nm;0;770;1
1;jung;suprabasal;222nm;30;2681;105
2;jung;suprabasal;222nm;30;1501;3
3;jung;suprabasal;222nm;30;1787;0
4;jung;suprabasal;222nm;30;1560;11
5;jung;suprabasal;222nm;30;1940;17
7;jung;suprabasal;222nm;30;1287;7
8;jung;suprabasal;222nm;30;1674;28
9;jung;suprabasal;222nm;30;1620;21
10;jung;suprabasal;222nm;30;788;0
11;jung;suprabasal;222nm;30;1194;718
1;jung;suprabasal;222nm;300;983;38
2;jung;suprabasal;222nm;300;2175;1
3;jung;suprabasal;222nm;300;2539;11
4;jung;suprabasal;222nm;300;1245;5
5;jung;suprabasal;222nm;300;1445;53
7;jung;suprabasal;222nm;300;826;24
8;jung;suprabasal;222nm;300;1345;3
9;jung;suprabasal;222nm;300;1503;9
10;jung;suprabasal;222nm;300;1053;0
11;jung;suprabasal;222nm;300;1628;113
1;jung;suprabasal;222nm;1000;1276;55
2;jung;suprabasal;222nm;1000;2113;32
3;jung;suprabasal;222nm;1000;2659;10
4;jung;suprabasal;222nm;1000;846;8
5;jung;suprabasal;222nm;1000;1310;109
7;jung;suprabasal;222nm;1000;1013;37
8;jung;suprabasal;222nm;1000;1292;34
9;jung;suprabasal;222nm;1000;1532;58
10;jung;suprabasal;222nm;1000;1155;12
11;jung;suprabasal;222nm;1000;1267;50
1;jung;suprabasal;222nm;2000;1481;52
2;jung;suprabasal;222nm;2000;2488;5
3;jung;suprabasal;222nm;2000;1762;29
4;jung;suprabasal;222nm;2000;1392;18
5;jung;suprabasal;222nm;2000;1443;532
7;jung;suprabasal;222nm;2000;1080;8
8;jung;suprabasal;222nm;2000;983;16
9;jung;suprabasal;222nm;2000;1182;21
10;jung;suprabasal;222nm;2000;1228;47
11;jung;suprabasal;222nm;2000;1306;140
1;jung;suprabasal;254nm;0;1263;2
2;jung;suprabasal;254nm;0;2449;3
3;jung;suprabasal;254nm;0;3471;7
4;jung;suprabasal;254nm;0;1072;2
5;jung;suprabasal;254nm;0;653;1
7;jung;suprabasal;254nm;0;1458;2
8;jung;suprabasal;254nm;0;1153;2
9;jung;suprabasal;254nm;0;1363;2
10;jung;suprabasal;254nm;0;990;1
11;jung;suprabasal;254nm;0;770;1
1;jung;suprabasal;254nm;30;1141;90
2;jung;suprabasal;254nm;30;1690;13
3;jung;suprabasal;254nm;30;646;100
4;jung;suprabasal;254nm;30;1403;54
5;jung;suprabasal;254nm;30;1538;390
7;jung;suprabasal;254nm;30;1379;143
8;jung;suprabasal;254nm;30;869;99
9;jung;suprabasal;254nm;30;1337;129
10;jung;suprabasal;254nm;30;1098;87
11;jung;suprabasal;254nm;30;602;188
1;jung;suprabasal;254nm;300;875;296
2;jung;suprabasal;254nm;300;2130;275
3;jung;suprabasal;254nm;300;2677;293
4;jung;suprabasal;254nm;300;881;282
5;jung;suprabasal;254nm;300;1183;590
7;jung;suprabasal;254nm;300;1318;298
8;jung;suprabasal;254nm;300;2002;479
9;jung;suprabasal;254nm;300;775;69
10;jung;suprabasal;254nm;300;1381;251
11;jung;suprabasal;254nm;300;1600;1053
1;jung;suprabasal;254nm;1000;1231;664
2;jung;suprabasal;254nm;1000;1645;123
3;jung;suprabasal;254nm;1000;1982;1068
4;jung;suprabasal;254nm;1000;1152;528
5;jung;suprabasal;254nm;1000;1487;1153
7;jung;suprabasal;254nm;1000;1081;540
8;jung;suprabasal;254nm;1000;932;520
9;jung;suprabasal;254nm;1000;1218;622
10;jung;suprabasal;254nm;1000;1081;470
11;jung;suprabasal;254nm;1000;1414;1200
1;jung;suprabasal;254nm;2000;1155;630
2;jung;suprabasal;254nm;2000;1422;294
3;jung;suprabasal;254nm;2000;1449;681
4;jung;suprabasal;254nm;2000;1207;632
5;jung;suprabasal;254nm;2000;1508;758
7;jung;suprabasal;254nm;2000;1177;371
8;jung;suprabasal;254nm;2000;1127;503
9;jung;suprabasal;254nm;2000;1136;424
10;jung;suprabasal;254nm;2000;1513;784
11;jung;suprabasal;254nm;2000;1208;522
